sim_id,peq,kappa,inc,nspot,lspot,tau,alpha_max
0,10.171608093004801,0.9431005454902537,1.5089443762601553,83,14.174923493526926,87.87902813974327,0.1834253780247848
1,20.046214084133418,-0.32243156280755336,1.4353831901232406,16,18.806260652059215,73.15972879994538,0.05015724881279666
2,13.665479060523523,-0.7288257165002705,0.8687563811833601,24,9.591490361794264,42.080783106990275,0.6748518308353606
3,8.16050057855149,0.752181177658926,0.40170209542291013,84,5.049921464732776,49.428186322968045,0.05703400248686532
4,5.464900321498305,-0.6254300056155941,0.6097030622264443,83,3.081719751664991,31.52589805722068,0.6883842523654696
5,5.475294316317877,0.4310939190019194,1.219516408438968,4,5.4008106000153155,90.93575762902651,0.21057979803621207
6,3.409876625134878,-0.7189107343113443,1.5354825830874268,92,19.20857437394371,34.66431228693072,0.33534596647193854
7,1.5142357038813061,-0.81166720882153,1.3673607938416004,40,38.191394337217375,92.27831126477193,0.0499679038156297
8,5.560460348467558,-0.8065937874647289,0.38712976001838745,73,37.0611257172292,50.37938030689077,0.18937059935129233
9,5.5465732815191,0.9714633698412705,1.1499176390290844,56,67.887618564739,67.14137170514024,0.2927266243029811
10,8.095352212419787,-0.06045303355740028,1.394928272687609,85,49.729109590839904,90.55084099873841,0.19842172909298764
11,16.954592926326846,-0.5183213100187851,0.6871814103916608,73,11.433493736073919,57.85908452300813,0.09873856995188006
12,0.9995133055018706,-0.45573362271239093,1.3092521691669186,64,94.8962408046439,53.043012058885864,0.14684514680410027
13,28.478802736492774,0.813343309222115,1.5155473843088598,75,57.88192033519341,19.623019286386967,0.7307331989426175
14,1.0863348703434386,-0.489026607786589,0.8258673364456917,69,57.652180482128344,64.17118141786297,0.158626941767333
15,25.424583109482096,0.771338511775453,1.2820547632862034,43,27.148131801947883,44.41326942702628,0.2422905418839413
16,12.743773756746386,-0.9963237218767489,1.116459418891115,15,29.120530076443053,94.86714440019675,0.7433532315726485
17,26.741257220748054,0.7217755919033315,0.37612345004639824,92,57.22048653945869,13.465309700226557,0.7925438471072717
18,10.12978025433607,0.9760261992827843,0.9821985210954207,85,68.73145336544357,95.57824216586806,0.7739243749821956
19,6.7721748348399835,0.4842486117573108,1.218477216275261,98,62.2881074770413,55.107551750732085,0.11088736649215623
20,24.08530398426762,-0.5039681950655275,1.1376886892875708,16,43.88155856093804,52.14005892120432,0.13850608137979661
21,0.28935112982304756,0.05781119344684771,1.141772357384065,79,22.391991498268183,99.54981824260717,0.05613074376933333
22,26.38390005476899,-0.4093174749717712,1.2943120257444505,25,63.1949427431814,84.20649398803806,0.061144732807658975
23,6.234004933772961,-0.24934968282660974,1.5460218095982465,33,92.95264362507696,49.808836413726,0.13621295042579196
24,17.586796008847507,0.16438553761612362,1.4340345210596004,9,0.3379002238983575,87.26989015810848,0.7399290346476424
25,8.592157921336783,-0.5617316426565848,0.7787312542661123,44,82.42252382233241,49.61713036306279,0.16663646979181537
26,9.051789146780898,0.22740167191304161,1.4247889411927421,80,63.015101944068796,63.96041580013927,0.10561012461843644
27,6.985245038814744,-0.46605516694388593,1.3962306712443011,18,15.66250977988518,20.85883692106687,0.8772592037216461
28,14.621578557728448,-0.7132491326089818,0.6824546581789896,51,41.494406364179234,43.07562023003516,0.585200313218195
29,14.563478944875003,-0.8612982848055073,0.4057329644713903,95,90.336456924104,37.578526101711105,0.13106228547157775
30,25.287450519323325,0.6725563311959444,1.4676556603875313,64,88.2514464362735,47.334623333629764,0.3724639979308467
31,13.881462025471171,0.7464890181772474,1.406971631020574,21,68.42467187636441,41.23172689918736,0.06946345048239277
32,15.414294005231469,-0.82393806440616,1.0452139488987682,27,97.45984759568866,16.12131796543523,0.16588148128490962
33,10.297412253012878,-0.6658169631280293,1.0116731747071146,65,24.003960888749887,99.45893316852636,0.486520320859322
34,4.184316885541331,0.7517691463969234,0.7069841835343971,99,97.76161763112084,47.38528039603024,0.07849072670516807
35,5.968814431399488,-0.8168366705981751,1.39964505983969,27,19.894072223927772,20.285891162385937,0.7411434774364007
